Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,,,,,262192,1343,1735.29
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,,,,,177,0,1.2
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,,,,,11954,28,48.23
2020H1,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",,,,,3479,92,101.5
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,,,,,5038,22,20.12
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,,,,,50782,74,89.36
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,,,,,12062,246,319.21
2020H1,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest and donor incisions",,,,,5171,28,39.85
2020H1,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest incision only",,,,,617,1,4.42
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),,,,,18707,110,110.58
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,,,,,19766,54,76.68
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gastric surgery,,,,,6831,35,60.43
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Heart transplant,,,,,113,2,2.77
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,,,,,16203,77,102.34
2020H1,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",,,,,8442,48,64.15
2020H1,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",,,,,1181,7,6.37
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney surgery,,,,,3065,10,10.12
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,,,,,938,1,5.41
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,,,,,16656,52,63.6
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,,,,,12148,27,42.52
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,,,,,356,7,17.33
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,,,,,16457,105,121.47
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Ovarian surgery,,,,,6819,6,5.14
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,,,,,7177,15,12.43
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,,,,,2622,11,46.41
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,,,,,9890,153,201.73
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,,,,,16240,100,124.55
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spleen surgery,,,,,830,11,5.08
